"item","d"
"vocab_word_acorn",3.65313756222265
"vocab_word_aloe",-0.802356461044855
"vocab_word_antenna",0.133689805407295
"vocab_word_artichoke",-0.135233675487741
"vocab_word_bamboo",2.83301160344905
"vocab_word_barrel",2.05390994633047
"vocab_word_blender",2.28809179559717
"vocab_word_blower",1.75491442428858
"vocab_word_bouquet",1.45260137203596
"vocab_word_buffet",1.4520019849527
"vocab_word_bulldozer",1.67326699011915
"vocab_word_cake",3.00190551813387
"vocab_word_caramel",1.77393581471186
"vocab_word_carousel",0.489610815849768
"vocab_word_carrot",4.75315895329366
"vocab_word_cassette",0.62663631686437
"vocab_word_spatula",1.34888987567445
"vocab_word_pump",2.16976906163162
"vocab_word_stew",-0.377470744253488
"vocab_word_saddle",1.40335248331348
"vocab_word_facade",-4.36575830742784
"vocab_word_irrigation",-3.36218097658127
"vocab_word_rosette",-1.31470036789438
"vocab_word_baywindow",-1.31677873704921
"vocab_word_arbor",-2.15674197574161
"vocab_word_saffron",-2.84884912162357
"vocab_word_claw",-4.46575856028635
"vocab_word_sedentary",-1.66888208111937
"vocab_word_metronome",-1.3784801232676
"vocab_word_vertebra",-2.31118025080086
"vocab_word_posterior",-1.82361632521119
"vocab_word_silverware",1.28007602093872
"vocab_word_dressing",0.123196645875107
"vocab_word_rickety",0.0498227482494396
"vocab_word_picking",1.3921962151149
"vocab_word_gesticulate",-4.23239277404408
"vocab_word_skimmer",-5.39765523172746
"vocab_word_urban",-1.27771774850054
"vocab_word_scaffolding",-0.538693236914257
"vocab_word_scoop",1.96566514825332
"vocab_word_uniform",-0.887122805414483
"vocab_word_awning",0.686488799992703
"vocab_word_wetland",1.6121306790362
"vocab_word_tumble",-0.00918750949614625
"vocab_word_prism",0.659099252121061
"vocab_word_tapestry",-0.442544960061761
"vocab_word_arrow",0.333693250817189
"vocab_word_cloak",-0.0195114827038013
"vocab_word_gutter",-0.708732870760567
"vocab_word_tulip",0.33095159260238
"vocab_word_steam",1.66133641376495
"vocab_word_kazoo",-0.36444474488084
"vocab_word_artifact",-0.0498266878374606
"vocab_word_preserve",-0.576502113560509
"vocab_word_hoe",1.19463343958081
"vocab_word_kimono",-1.05356448301386
"vocab_word_slope",-0.211622569471789
"vocab_word_dripping",1.25162650889511
"vocab_word_locker",3.15243738524696
"vocab_word_puddle",1.6646320294886
"vocab_word_camp",3.0264492035563
"vocab_word_pistachio",0.972290834806912
